id,weight,year,country_code,country_name,country_year,life_evaluation,life_satisfaction,positive_affect,absence_negative_affect,gender,age,age_squared,relationship_status,food,housing,health,water,air,healthcare,security,security_obj,social_support,respect,education,interesting_activity,recreation,occupation,freedom,personal_income,relative_income,country_average_food,country_average_housing,country_average_health,country_average_water,country_average_air,country_average_healthcare,country_average_security,country_average_security_obj,country_average_social_support,country_average_respect,country_average_education,country_average_interesting_activity,country_average_recreation,country_average_occupation,country_average_freedom,gdp,growth,social_protection,welfare_state,government_effectiveness,democracy,importance_rich,religious,altruistic_behaviour,rating_economic_conditions,confidence_institutions,expected_economic_conditions,satisfaction_standard_living,gini
1509,1.769143777889672,2017,CMR,Cameroon,Cameroon_2018,4,NA,0.9559807316219434,0.03525609462962303,male,26,534,single,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,8.214564485305472,72.65826326944588,33.96193466312552,50.79815653183289,56.627089474649594,47.289380204221544,71.2117662882828,47.27819198906696,28.993611122975167,67.43103874624585,68.58965564725469,69.91264249135244,42.59692066866397,60.45656110763692,66.77705363247935,88.89407676087785,73.45365461923988,8.177018421689862,0.046549806186071185,10.039280072463843,NA,-0.6867104484692166,-1.0078580958232506,NA,yes (practising),0.6096780479402837,2,0.8829650403005284,0,1,NA
172,0.6574700957854296,2018,PRY,Paraguay,Paraguay_2018,4,NA,0.9436879856401769,0.6066225031448801,female,50,2577,partnered,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,8.209304836252414,40.88010251649758,55.95303802272368,75.10490671413933,78.26802860214451,76.61092672128785,82.87704357759912,55.27690982336404,46.88423208379099,80.78188849118037,77.68321892416635,96.02498707766715,54.72055039796447,54.30402718861783,75.54173044776523,90.98212054233083,76.9191458998164,8.900401234933907,1.1320302385495704,33.28900414417253,NA,-0.7147233641919097,0.01874093203223286,NA,yes (practising),0.6423506432784607,3,0.346069702411408,0,1,51.19413018596599
1128,0.943827482882179,2016,LKA,Sri Lanka,Sri Lanka_2017,6,NA,0.9491401014479234,0.2514055855395521,female,56,1534,partnered,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,6.838273687791798,10.821330703564387,53.062188528549704,51.37520810145912,63.86662455160836,59.98701024206345,86.08526773963773,78.92238715814611,63.74976023412288,90.2410865284048,72.32524197832495,86.85851832837207,48.636654841748644,60.115818730843415,61.678260371266504,91.21398959084655,76.94226973864988,9.46599405509753,4.762464148993566,36.26326316197936,NA,-0.48608178097443416,-0.24885305115001705,NA,yes (practising),0.3977720976545134,2,0.21161131464074306,0,1,NA
1096,2.282134213991432,2013,SRB,Serbia,Serbia_2011,1,NA,0.49305249735545,0.38027659690187054,female,36,1634,single,0,1,0,1,1,1,0,NA,1,1,0,1,1,1,0,9.10011834218472,83.67964038152792,71.5258803114541,86.75495860143987,70.02975651568798,56.45431379886401,58.23450086991652,50.05818390520045,72.10670822686482,NA,87.18585681056031,78.0430247664906,82.03631465198877,35.30086994593879,51.28315969885854,94.50184280283067,45.51343982328075,9.84439072330485,0.9216885214220436,42.84997926434156,NA,0.22127571387719985,0.23201134079840827,3.2137446593358217,yes (practising),0.35535470729126584,NA,NA,0,0,NA
2148,1.0565921436859036,2019,KGZ,Kyrgyz Republic,Kyrgyz Republic_2019,9,NA,0.3416566752442647,0.5415833010718814,male,64,3293,partnered,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,11.050037876829128,71.83990880480415,66.8275758039873,56.060162185720486,69.70548999507503,79.46198273704938,75.80749272889388,72.68204761152283,65.28642233458092,80.05898873143892,79.14427880657394,83.25498613102937,85.84399418479623,39.11936809826638,77.08136253097318,92.14792417813219,84.65917362758863,8.606425702043332,0.7615091339478781,41.54676216577481,NA,-0.09293856651328303,-0.8308924822285612,3.968826125361581,yes (practising),0.30672488534918446,1,0.04116548907116082,0,1,30.69367944894956
624,0.8681464793086996,2019,JOR,Jordan,Jordan_2019,5,NA,0.8190583472237918,NA,female,35,3114,partnered,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,8.391219911927129,74.18636561695713,53.81262798360789,68.19309394838676,71.99576293240307,68.30727376480581,64.23322821342101,61.43223469594406,62.916244119593834,76.25763492394852,68.72477694788137,89.5596376728575,71.93046334669924,44.337239261728165,54.8513946824767,86.24805299843483,73.18885301907645,8.925307264749652,-1.350662873165614,35.196108880884815,NA,0.3208627553273283,-1.118884252650802,3.8260952784342805,NA,0.34977319752879515,1,0.3622449469102784,0,0,NA
528,1.7982198391033117,2015,GAB,Gabon,Gabon_2016,4,NA,0.7996759025543891,0.5837640570972924,male,35,864,partnered,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,6.7716355327818585,33.20934724919952,41.389300058271466,57.10469580752364,66.93685435802878,43.690498254120925,58.13529189168997,29.73960194296289,36.91420606582263,64.60413335266392,83.62329571237713,81.91788178203598,50.29401120645785,58.718974953267214,60.77425415097383,80.5959265130944,73.6068564769501,9.505730592741019,0.6765707503955067,NA,NA,-0.539473525993251,-0.37099806086293774,NA,yes (practising),0.2893689078713786,NA,0.534985559725745,0,0,NA
1093,1.2989224251581601,2016,TUN,Tunisia,Tunisia_2015,4,NA,0.4759904607519016,0.7319126486529403,female,31,1580,single,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,7.812884939501599,35.55256842081162,77.66985083132454,80.76206899953155,73.41110286380827,50.100925179312775,64.88520220645562,41.21256053018249,58.05374924323145,74.70162768463113,61.145753240411196,77.80765785677224,56.72182354151433,36.88124002159972,59.10595747681128,89.94283788145161,66.12412117234086,9.034748873174472,-0.5139464203508888,44.33366820416441,NA,-0.48019719114642573,0.027116122205568055,3.4375660314034406,yes (practising),0.11210800389662999,NA,0.7327484809956099,0,0,36.54930308948001
686,1.1501919332739363,2009,LBN,Lebanon,Lebanon_2009,5,NA,0.0032575695043018564,0.08305491820605486,female,28,1451,single,0,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,7.754696652030124,18.663702809115673,77.19689002109811,88.94443385480108,73.10956394095372,33.28474624925617,43.31998972747703,62.4511179798315,50.193211739475345,84.4744664876467,75.70097215455299,91.33913462642919,62.51332244177058,24.41923736579497,57.771857197381166,95.59823353887845,66.77663961266335,9.174787931465657,7.201735958321312,27.347146305561218,NA,0.10639785027249354,-0.3328220840305866,3.9748057164871233,yes (practising),0.3692143775473636,NA,0.7520397323871562,0,0,NA
714,1.7617936645235126,2012,ZAF,South Africa,South Africa_2012,2,NA,0.8734496797723712,0.91157201630724,male,22,1244,single,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,7.707809957365866,69.89534630509844,62.10409792948334,85.86723266509858,76.16476425552095,62.154626342226585,76.99585136764053,46.25791409222718,26.05021074381949,59.83905574773725,89.98988927951743,78.29057280175113,66.59276454562995,56.8752641057299,70.3630778776851,80.7123692129841,70.09524410339634,9.470736065976753,1.705486453132107,47.44781777355883,NA,0.19504979942862616,0.03468715392547206,4.130174538707057,yes (practising),0.3631266291271676,NA,0.4697997498018366,0,0,NA
553,1.5886617206120501,2012,SRB,Serbia,Serbia_2010,NA,NA,0.052755847363147715,0.7688548793537514,female,64,3844,partnered,NA,NA,0,1,0,0,NA,NA,1,0,1,0,1,1,0,7.371111085965021,83.92718853038191,72.90242711773656,62.20782081497302,69.71045700953384,62.98728166348595,57.96961863361541,56.64235527714152,NA,NA,68.55297564617443,80.58915789813707,75.01156658899225,36.34609391924691,49.43940421048608,92.01935594244752,46.465922848900064,9.182648667425727,2.0503448683193697,39.78524218398698,NA,0.00838569757244187,-0.08089185583006431,3.060322605962362,yes (formally),NA,NA,NA,0,0,NA
6633,2.0061982801803873,2018,CMR,Cameroon,Cameroon_2019,7,NA,0.5039550518942011,0.9353540221108132,female,29,1978,single,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,6.309694427007209,74.83105341455014,35.86807102682227,59.79583027071501,66.73542415927685,45.586340325375566,66.1500823840623,51.494787147703875,37.10748646387818,65.57819417152382,59.582097219539975,79.84384160506669,52.87247186449817,56.74929846321732,66.29562438948697,89.56984617449007,57.39931974476869,8.310681459600124,-2.1458688655221105,32.47500095358762,NA,-1.5272023333202709,-1.1100613166117943,NA,yes (practising),0.8738157016300494,2,0.9831614973745905,0,0,NA
642,1.263198730518278,2021,MDA,Moldova,Moldova_2021,5,NA,0.004340514554469594,0.8576052594702861,male,39,1651,separated,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,10.256382977129128,88.11406254474213,68.7284153231374,75.1194104564641,73.30732942816473,62.032214763799274,74.0901161262565,62.21842749097217,68.52211477039323,86.50963812162479,72.80613784416312,89.43184543948026,86.38878536369745,47.91980726754653,65.10691616493379,90.68949960044719,75.16263566905451,9.536902593778912,7.002990796536569,50.9010304557971,NA,-0.37341808359539214,0.0703078877758183,3.3856965850038883,yes (practising),0.528074611891859,2,0.9902354446395948,0,1,26.548289464523673
1058,1.4827245241176608,2013,SWZ,Eswatini,Eswatini_2011,7,NA,0.057125920265308806,0.9335411782386001,female,25,958,single,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,8.940693783235742,79.2224520700258,53.63514390239421,77.58235141709189,70.70306013271548,73.68503202604067,83.09087509366644,61.28182514556657,31.08109886844908,64.52705428078173,68.68338617481398,76.05714133003217,64.83294576987414,59.83944539886133,63.70908399892297,76.1620923702881,55.00469807760558,8.892738886776952,4.813578355117674,38.712730220632736,NA,-0.49097165317470576,-0.6670046825509597,NA,yes (practising),0.4672656180753194,NA,0.6935910141866446,0,1,NA
3490,1.1663101354538261,2015,TJK,Tajikistan,Tajikistan_2014,5,NA,0.10130298572707513,0.24247256596627115,female,62,5184,partnered,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,8.999129147813907,85.97567055161443,74.08245188394618,71.5142723306373,80.63598677136181,63.71452836981546,85.80984544550728,59.14712484470725,81.6321735821007,90.51201360776611,79.8177168125953,88.17165980884398,65.6662705615068,44.990030530749074,69.54268677418126,91.06761991151689,80.05002710878979,8.210296786284806,5.209548402235454,26.350541743652727,NA,-0.7335391250969243,-1.5096997033556923,NA,yes (practising),0.8589445675371898,NA,0.8393394854169594,0,1,NA
287,2.630929206967489,2018,ARE,United Arab Emirates,United Arab Emirates_2018,7,NA,0.9727152647829416,0.9384783886970511,male,31,1516,partnered,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,8.08673355297506,38.5263768844076,71.66537086234385,76.7786052482354,89.37666538515137,83.307371487876,86.07639679062103,90.24373343579052,83.3891018419731,81.6933526876507,71.53280801672314,86.21777151446533,81.30439332608316,60.6378324019264,67.68311112414796,94.66014271592245,93.63696232338248,10.998063609479406,3.931665041054531,20.98856593187407,NA,0.9832240839948165,-1.322127812601442,NA,NA,0.4871074878789895,2,0.9247251140493271,0,1,37.11369520972624
113,1.6651566523895625,2012,AFG,Afghanistan,Afghanistan_2012,3,NA,0.8137545082063795,0.5033949183324935,male,39,2423,partnered,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,6.458517013976495,19.11197398935804,61.08112633402235,56.54631862740077,69.93925279496584,66.31052636802866,65.04687232187165,47.41596763586524,41.51736117390917,72.22948859021635,52.381223758129146,78.1382275005056,35.681639201935845,46.45863007346361,75.17904934676604,86.86907969684363,44.28115591341331,8.491899574024586,4.762979195015173,23.415540889231274,NA,-1.4996885184460227,-0.6707604053107846,NA,NA,NA,NA,0.4667247603968792,0,1,NA
460,1.4609987311232544,2018,CYP,Cyprus,Cyprus_2019,8,NA,0.4226697693444337,0.6825765239370694,female,21,1560,single,0,1,1,1,NA,1,1,1,1,1,1,0,1,0,1,8.669280946909765,47.09383851713858,56.498189734385,82.41385784826625,62.141701966913146,47.119755129752406,68.4656298166101,57.23452500618158,70.72066938253957,90.04159713908865,66.56775957513673,82.36901602592758,76.86938098520577,38.68453103166549,62.60052336436721,92.30503073288044,74.76097851994531,10.637260360496272,4.10781607259045,55.664983273358715,NA,0.9776098833877714,0.7278994199578311,2.8904421916015224,yes (formally),0.3742381724196741,3,0.955353611456424,0,0,32.11878784944838
1121,2.893084293697429,2020,IND,India,India_2021,3,NA,0.9782125423072664,0.9365615953052469,female,50,6258,partnered,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,8.264471661315595,76.28898154482107,46.973094534958726,58.94458750068391,76.50656407952214,81.17183428142705,76.70914206104506,66.20622645884251,63.77873946489553,80.39505142210662,56.280434376321956,80.87192809770434,39.50492727029594,44.97931800958946,65.6361428108149,88.48446373895338,88.84064390165274,9.177486568868174,0.3769243929228745,24.297141135965514,NA,0.43217854565914804,-0.06291086035024214,3.2809063066695328,yes (practising),0.23405283568372084,2,0.9933138588015855,0,0,36.12826429372004
3277,1.7249100047376649,2017,SAU,Saudi Arabia,Saudi Arabia_2018,7,NA,0.8900186083269528,0.878940208158276,female,27,3886,single,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,9.287692808657157,34.56034706363635,75.60000634203111,76.93072952249369,83.87974143692459,84.46364980034271,81.90483577478295,80.13614533524554,69.81019419938326,86.6446183900401,70.74113026029407,86.27231009895783,85.98520581966164,52.27524255185125,73.05351202895058,86.80485065202215,79.80324615602508,10.745138461652918,-4.432746982882422,80.32096318389911,NA,0.2943781810957738,-1.1833165728653143,NA,NA,0.47938918877575915,1,0.9536278392098524,0,1,NA
1995,1.356587736401977,2019,CZE,Czechia,Czechia_2020,7,NA,0.6739521482569805,0.49402033382955973,female,37,2303,partnered,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,8.725655921956525,33.02487108132813,87.82381600879388,90.2836210193572,74.74046422020189,85.62773477501251,78.93319755489334,80.2035594973712,70.93860742185531,82.93395582870612,90.74500238437703,85.74901743792384,83.77018131418312,51.21558403568854,70.98348752703659,94.5525754334476,64.67813746679539,9.939804025057727,-0.44805622405423384,81.79447766871468,NA,1.0512972090912318,0.9982852889758055,NA,yes (practising),0.30063085122087957,3,0.7480561125249099,0,1,35.00849484606096
2620,0.4891419347978285,2012,BFA,Burkina Faso,Burkina Faso_2014,4,NA,0.978735678962962,0.9991482909360652,male,31,2044,partnered,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,6.357235330750186,57.09683339889965,51.79562687009491,68.20429475284242,77.3279409247025,62.423265770176194,75.91661225075792,31.57300946890954,55.201052552819384,84.09748779363615,76.13851953881563,77.96027743481038,21.139344348488606,54.356366882488224,63.110330977581505,88.23451489190295,60.02434264369463,8.16216106461773,-0.9630271646489517,28.578496332406935,NA,0.016503410444307698,-0.2564840169431773,3.3931623790461978,yes (practising),0.7032342648349281,NA,0.24826605113877834,0,0,37.4357288156004
5342,1.295225202382806,2020,BGR,Bulgaria,Bulgaria_2021,4,NA,0.9473997011621302,0.6116175548378112,male,49,2271,separated,0,0,1,1,NA,0,0,0,1,1,0,1,1,1,1,10.045862916532286,49.107242022480605,68.41169553151262,82.62059932803145,73.24461274047518,71.23906527450947,52.77058613784301,45.097682362663384,45.68468210924253,84.4751908611857,83.10319113869377,84.12285051628683,64.1983817720045,57.92142246178224,42.69132550701005,93.07122836055815,83.51623601165244,10.379140060641669,-1.2420574119528176,74.11358814053395,NA,-0.4843036157037678,-0.5669300162604519,2.8939740828986578,yes (formally),0.6204846666838694,2,0.0741805700463366,0,1,37.562618089404566
1504,1.1481513558667917,2018,ITA,Italy,Italy_2014,7,NA,NA,NA,male,39,1823,single,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,7.768116116410349,53.922333088414035,82.28706775053566,85.03217457856196,82.94048146382856,72.97954433088414,51.97981677457553,44.23703720471847,45.11780706175224,76.12072317533146,78.66733618115916,93.90376198080676,48.739065688969816,61.66645943951403,56.90109115773408,92.41665100493427,63.30018740217775,10.037536551430293,-0.8154179257651457,50.24118702398122,27.688882678324312,0.24772976015823428,0.6030688496871978,NA,NA,NA,NA,0.7847417485996402,NA,1,34.62226506367029
271,0.9775102678775822,2017,EGY,"Egypt, Arab Rep.","Egypt, Arab Rep._2017",1,NA,0.05701817048607562,0.02492845004827375,male,62,2830,partnered,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,7.175634025430309,49.315981090783495,58.754487143972575,70.42876977764837,72.87305709047413,48.76586336357372,73.34064505264034,34.32995209410574,82.65292582248944,59.50619066822133,64.27660128981321,86.69519079218145,66.70220795315926,28.349522944874636,52.71233778630511,96.02786901072346,60.51324602386245,9.139559338075168,2.0192894256457405,58.612276433744,NA,1.4884940099387811,-1.2439169929401814,3.1467928888168193,NA,0.047828347509745586,2,NA,0,0,34.99867833946177
126,2.462184503726129,2020,POL,Poland,Poland_2022,6,NA,0.23890863031810694,0.843458124292014,male,52,2179,partnered,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,8.069853514350237,17.26638352338278,80.93854619487448,92.27732381945854,83.94142333313836,79.99134088902322,75.33846044773446,55.42461253499391,74.69826339899313,88.81176700998937,87.60029220497383,93.70805393094815,68.79942699383675,30.712618173997665,65.86007700338256,95.6504036808845,76.4942984416765,10.147510041983292,2.120535055492584,82.58541242074978,NA,0.3352528135609041,-0.07054046108481926,3.506469388181764,yes (practising),0.10823604597389712,3,0.7374516484018444,0,1,NA
