"ref_area","ref_area.label","source","source.label","indicator","indicator.label","sex","sex.label","classif1","classif1.label","time","obs_value","note_classif","note_classif.label"
"ARM","Armenia","XA:6468","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",54.4,,
"ARM","Armenia","XA:6468","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",47.3,,
"AUS","Australia","XA:6595","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2018",100,,
"AUS","Australia","XA:6595","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",82,,
"AUT","Austria","XA:6500","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2018",100,,
"AUT","Austria","XA:6500","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",98.6,,
"AZE","Azerbaijan","XA:6627","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",39,,
"AZE","Azerbaijan","XA:6627","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",40.3,,
"BEL","Belgium","XA:6523","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2018",100,,
"BEL","Belgium","XA:6523","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",100,,
"BEN","Benin","XA:6460","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",7.8,,
"BFA","Burkina Faso","XA:6539","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",9.9,,
"BFA","Burkina Faso","XA:6539","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",7.5,,
"BGD","Bangladesh","XA:6429","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2021",22.5,,
"BGD","Bangladesh","XA:6429","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",28.4,,
"BGR","Bulgaria","XA:6555","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2018",84.7,,
"BGR","Bulgaria","XA:6555","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",88.3,,
"BHR","Bahrain","XA:6476","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",62.4,,
"BHR","Bahrain","XA:6476","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2019",66,,
"BHS","Bahamas","XA:6571","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",49.1,,
"BIH","Bosnia and Herzegovina","XA:6414","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",40,,
"BLR","Belarus","XA:6587","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",36,,
"BLZ","Belize","XA:6492","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",37.9,,
"BMU","Bermuda","XA:6603","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",80.6,,
"BOL","Bolivia","XA:6445","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2021",60.2,,
"BOL","Bolivia","XA:6445","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",46.6,,
"BOL","Bolivia","XA:6445","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2017",40.8,,
"BRA","Brazil","XA:6619","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2021",72.7,,
"BRA","Brazil","XA:6619","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",69.9,,
"BRA","Brazil","XA:6619","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2018",74.9,,
"BRB","Barbados","XA:6508","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",55.3,,
"BRN","Brunei Darussalam","XA:6512","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",34.1,,
"BTN","Bhutan","XA:6640","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",8.8,,
"BWA","Botswana","XA:6519","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",14.7,,
"BWA","Botswana","XA:6519","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",15.4,,
"CAF","Central African Republic","XA:6456","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",3.5,,
"CAN","Canada","XA:6527","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2018",100,,
"CAN","Canada","XA:6527","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",99.8,,
"CHE","Switzerland","XA:6535","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2018",96.6,,
"CHE","Switzerland","XA:6535","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",92.7,,
"CHL","Chile","XA:6464","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2021",83,,
"CHL","Chile","XA:6464","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2018",70.2,,
"CHL","Chile","XA:6464","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2017",69.2,,
"CHN","China","XA:6543","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",70.8,,
"CHN","China","XA:6543","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2017",67.4,,
"CHN","China","XA:6543","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",63,,
"CMR","Cameroon","XA:6551","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",10.3,,
"CMR","Cameroon","XA:6551","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2019",6.8,,
"CMR","Cameroon","XA:6551","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",8.7,,
"COD","Congo, Democratic Republic of the","XA:6472","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",14.1,,
"COK","Cook Islands","XA:6433","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2019",86.3,,
"COL","Colombia","XA:6567","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2021",49.7,,
"COL","Colombia","XA:6567","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",52.5,,
"COL","Colombia","XA:6567","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2017",40.8,,
"CPV","Cabo Verde","XA:6575","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2021",39.9,,
"CPV","Cabo Verde","XA:6575","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",39.2,,
"CPV","Cabo Verde","XA:6575","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2017",36.2,,
"CRI","Costa Rica","XA:6403","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2021",60.5,,
"CRI","Costa Rica","XA:6403","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",58,,
"CRI","Costa Rica","XA:6403","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2017",72,,
"CUB","Cuba","XA:6488","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",48.7,,
"CUW","Curaçao","XA:15942","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2021",79.7,,
"CYP","Cyprus","XA:6441","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2018",59.5,,
"CYP","Cyprus","XA:6441","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",61.2,,
"CZE","Czechia","XA:6599","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2018",86.8,,
"CZE","Czechia","XA:6599","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",88.8,,
"DEU","Germany","XA:6615","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2018",100,,
"DEU","Germany","XA:6615","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",99.5,,
"DJI","Djibouti","XA:6504","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2019",12.3,,
"DMA","Dominica","XA:6623","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",46.8,,
"DNK","Denmark","XA:6449","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2018",93.2,,
"DNK","Denmark","XA:6449","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",89.5,,
"DOM","Dominican Republic","XA:6631","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2021",54.2,,
"DOM","Dominican Republic","XA:6631","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",53.6,,
"ECU","Ecuador","XA:6514","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2021",47.9,,
"ECU","Ecuador","XA:6514","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",34.8,,
"ECU","Ecuador","XA:6514","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2017",31.7,,
"EGY","Egypt","XA:6641","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",34.7,,
"EGY","Egypt","XA:6641","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",36.9,,
"ESP","Spain","XA:6521","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2018",82.6,,
"ESP","Spain","XA:6521","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",80.9,,
"EST","Estonia","XA:6423","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2018",94.8,,
"EST","Estonia","XA:6423","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2016",98.4,,
"ETH","Ethiopia","XA:6458","ILO - Social Security Inquiry Database","SDG_0131_SEX_SOC_RT","SDG indicator 1.3.1 - Proportion of population covered by social protection floors/systems (%)","SEX_T","Sex: Total","SOC_CONTIG_TOTAL","Contingency: Population covered by at least one social protection benefit","2020",7.4,,
